"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -8.134759566,      -7.607013702,      -8.282329204,      -8.748887892,      -7.238408129
          0,           0,           1,      -8.272574691,      -7.635235504,      -8.275921072,      -8.748881391,      -7.238360432
          0,           0,           2,      -8.371790315,      -7.647720316,      -8.260419525,      -8.748880196,      -7.238300411
          0,           0,           3,      -8.442787118,      -7.653888671,      -8.240710726,      -8.748882859,       -7.23822679
          0,           0,           4,      -8.475658016,      -7.656807688,      -8.223554569,      -8.748887552,      -7.238138054
          0,           0,           5,      -8.462860333,      -7.657080573,      -8.213120537,      -8.748892308,      -7.238032757
          0,           0,           6,       -8.41104624,      -7.654317245,      -8.210855729,      -8.748895443,      -7.237910002
          0,           0,           7,      -8.337455103,      -7.647824915,      -8.217697039,      -8.748895711,      -7.237767373
          0,           0,           8,      -8.259658995,      -7.637219127,      -8.233663788,        -8.7488937,      -7.237607644
          0,           0,           9,      -8.189431626,      -7.623252675,      -8.255131422,      -8.748885349,      -7.237426965
          0,           0,          10,      -8.137584626,      -7.609593805,      -8.275335393,       -8.74885069,      -7.237216502
          0,           0,          11,      -8.126892602,      -7.605810784,      -8.288324997,      -8.748818604,       -7.23701042
          0,           0,          12,      -8.129977488,      -7.606611147,       -8.29522587,      -8.748789112,      -7.236803254
          0,           0,          13,      -8.136083059,      -7.608561079,      -8.296381964,      -8.748762434,       -7.23659704
          0,           0,          14,      -8.140936367,      -7.610177488,      -8.293265225,      -8.748737064,      -7.236386426
          0,           0,          15,      -8.143465519,      -7.611074711,      -8.288413523,      -8.748712016,      -7.236171121
          0,           0,          16,      -8.144061542,      -7.611333192,      -8.284021286,      -8.748688193,      -7.235957741
          0,           0,          17,      -8.143532639,       -7.61116481,        -8.2812234,      -8.748664953,      -7.235744705
          0,           0,          18,      -8.142569026,      -7.610768494,      -8.280198225,      -8.748641868,      -7.235530726
          0,           0,          19,      -8.141583605,      -7.610285037,      -8.280546202,      -8.748619889,       -7.23531942
          0,           0,          20,      -8.140750634,      -7.609797982,      -8.281648207,      -8.748598526,      -7.235107326
          0,           0,          21,      -8.140100603,      -7.609349536,      -8.282914541,      -8.748577743,      -7.234893673
          0,           0,          22,      -8.139600937,      -7.608956206,      -8.283931327,      -8.748556167,      -7.234672358
          0,           0,          23,      -8.139204259,       -7.60861985,      -8.284501411,      -8.748533875,      -7.234444514
          0,           0,          24,      -8.138869874,      -7.608334152,       -8.28461088,      -8.748513077,      -7.234220174
          0,           0,          25,      -8.138569541,      -7.608088512,      -8.284358273,      -8.748493125,      -7.233997186
          0,           0,          26,         -8.138286,      -7.607871479,      -8.283887296,      -8.748471537,      -7.233763544
          0,           0,          27,      -8.138010021,      -7.607672136,      -8.283327155,      -8.748450583,      -7.233530198
          0,           0,          28,       -8.13773766,      -7.607482454,      -8.282779652,      -8.748429813,      -7.233294856
          0,           0,          29,      -8.137468115,      -7.607296894,      -8.282303355,      -8.748410462,       -7.23306271
          0,           0,          30,      -8.137202155,      -7.607112203,       -8.28192129,      -8.748391802,      -7.232830157
          0,           0,          31,      -8.136940936,      -7.606927125,      -8.281634501,      -8.748373823,      -7.232596947
          0,           0,          32,       -8.13668512,      -7.606741114,      -8.281427469,      -8.748356274,      -7.232362897
          0,           0,          33,      -8.136434243,      -7.606553925,      -8.281286448,      -8.748340031,       -7.23213189
          0,           0,          34,      -8.136186782,      -7.606365149,      -8.281194743,      -8.748325344,       -7.23190496
          0,           0,          35,       -8.13594072,      -7.606174548,      -8.281145732,      -8.748312213,      -7.231681784
          0,           0,          36,       -8.13569423,       -7.60598196,      -8.281129432,      -8.748298683,      -7.231453216
          0,           0,          37,       -8.13544623,      -7.605787628,       -8.28113965,      -8.748284926,       -7.23122057
          0,           0,          38,      -8.135196703,      -7.605592501,      -8.281166715,      -8.748272628,      -7.230991461
          0,           0,          39,      -8.134946807,      -7.605398148,      -8.281199491,      -8.748261885,      -7.230766158
          0,           0,          40,      -8.134698586,      -7.605206446,       -8.28122443,      -8.748251786,       -7.23054074
          0,           0,          41,      -8.134454474,      -7.605018903,      -8.281229985,      -8.748241392,      -7.230310625
          0,           0,          42,      -8.134216641,      -7.604837071,      -8.281208089,      -8.748230211,      -7.230073722
          0,           0,          43,      -8.133986473,      -7.604661299,      -8.281151348,      -8.748219561,      -7.229836658
          0,           0,          44,        -8.1337645,      -7.604491678,      -8.281058611,      -8.748210256,      -7.229602789
          0,           0,          45,      -8.133550399,      -7.604327677,      -8.280933761,      -8.748201282,       -7.22936538
          0,           0,          46,      -8.133343088,      -7.604168202,      -8.280783799,      -8.748193777,      -7.229131669
          0,           0,          47,      -8.133141001,      -7.604011917,      -8.280618011,      -8.748187772,      -7.228901796
          0,           0,          48,      -8.132942433,      -7.603857577,      -8.280447287,      -8.748182212,      -7.228671332
          0,           0,          49,      -8.132745876,      -7.603704208,      -8.280280631,      -8.748177034,      -7.228443366
          0,           0,          50,       -8.13255028,      -7.603551203,      -8.280126111,       -8.74817216,      -7.228228515
          0,           0,          51,      -8.132355112,      -7.603398253,      -8.279987637,      -8.748168718,      -7.228015656
          0,           0,          52,      -8.132160348,      -7.603245522,      -8.279869664,      -8.748166253,      -7.227800729
          0,           0,          53,      -8.131966446,      -7.603093351,      -8.279772689,      -8.748165191,      -7.227587929
          0,           0,          54,      -8.131774198,      -7.602942323,      -8.279695553,      -8.748165422,      -7.227376889
          0,           0,          55,      -8.131584528,       -7.60279308,      -8.279634728,      -8.748167203,      -7.227169112
          0,           0,          56,      -8.131398381,      -7.602646147,      -8.279587086,      -8.748170439,      -7.226964112
          0,           0,          57,      -8.131216385,      -7.602502185,      -8.279549612,      -8.748174119,      -7.226757266
          0,           0,          58,      -8.131038788,      -7.602361317,       -8.27951855,      -8.748178569,      -7.226550113
          0,           0,          59,      -8.130865597,      -7.602223602,      -8.279490117,      -8.748182043,      -7.226335383
          0,           0,          60,      -8.130696647,      -7.602088934,      -8.279460571,      -8.748186658,      -7.226122625
          0,           0,          61,      -8.130531617,      -7.601957076,      -8.279428089,      -8.748192141,      -7.225910928
          0,           0,          62,      -8.130370077,      -7.601827664,      -8.279390191,      -8.748199178,      -7.225702905
          0,           0,          63,      -8.130211568,      -7.601700633,      -8.279346619,       -8.74820777,      -7.225498292
          0,           0,          64,      -8.130055707,      -7.601575488,      -8.279296065,      -8.748217855,      -7.225296997
          0,           0,          65,      -8.129902132,      -7.601451939,      -8.279239598,      -8.748227919,      -7.225093035
          0,           0,          66,      -8.129750529,      -7.601329984,      -8.279178206,      -8.748238798,      -7.224889574
          0,           0,          67,       -8.12960074,      -7.601209512,      -8.279113737,      -8.748250019,      -7.224684449
          0,           0,          68,       -8.12945271,      -7.601090542,      -8.279047387,      -8.748262805,      -7.224482948
          0,           0,          69,      -8.129306457,      -7.600972936,      -8.278981439,      -8.748277193,      -7.224285156
          0,           0,          70,      -8.129162006,      -7.600856645,      -8.278918922,      -8.748292194,      -7.224086383
          0,           0,          71,      -8.129019397,      -7.600741889,      -8.278860381,      -8.748308286,       -7.22388889
          0,           0,          72,      -8.128878795,      -7.600628762,      -8.278806078,      -8.748325977,      -7.223695106
          0,           0,          73,      -8.128740435,      -7.600517472,      -8.278758206,      -8.748344752,      -7.223502229
          0,           0,          74,      -8.128604596,      -7.600408209,      -8.278715307,      -8.748364291,      -7.223308404
          0,           0,          75,      -8.128471537,      -7.600301152,      -8.278679136,      -8.748385413,       -7.22311823
          0,           0,          76,       -8.12834136,      -7.600196297,      -8.278647341,      -8.748407538,       -7.22292588
          0,           0,          77,      -8.128213978,      -7.600093527,      -8.278617434,      -8.748430642,      -7.222733888
          0,           0,          78,      -8.128089213,      -7.599992552,      -8.278594683,      -8.748454451,      -7.222541155
          0,           0,          79,      -8.127966886,      -7.599893372,      -8.278576352,      -8.748479827,      -7.222351894
          0,           0,          80,      -8.127846834,      -7.599796032,      -8.278560533,      -8.748504552,      -7.222156241
          0,           0,          81,      -8.127728993,      -7.599700218,      -8.278546608,      -8.748529759,       -7.22195661
          0,           0,          82,      -8.127613099,      -7.599605797,       -8.27853427,      -8.748556519,      -7.221760191
          0,           0,          83,      -8.127498827,      -7.599512609,      -8.278522526,      -8.748581878,      -7.221554712
          0,           0,          84,       -8.12738597,      -7.599420556,       -8.27851032,      -8.748607196,      -7.221346663
          0,           0,          85,      -8.127274438,      -7.599329633,      -8.278496619,      -8.748633716,      -7.221141503
          0,           0,          86,      -8.127164186,      -7.599239906,      -8.278482376,      -8.748661347,       -7.22093634
          0,           0,          87,      -8.127055139,      -7.599151378,      -8.278466877,      -8.748690103,      -7.220731597
          0,           0,          88,      -8.126947194,      -7.599064088,      -8.278450811,      -8.748719912,      -7.220528311
          0,           0,          89,      -8.126840312,      -7.598977982,      -8.278433673,      -8.748750555,       -7.22032531
          0,           0,          90,      -8.126734616,      -7.598893076,      -8.278415473,      -8.748782609,      -7.220125752
          0,           0,          91,      -8.126630367,      -7.598809531,      -8.278397438,      -8.748815685,      -7.219927971
          0,           0,          92,      -8.126527736,      -7.598727396,      -8.278379721,       -8.74884993,      -7.219732618
          0,           0,          93,      -8.126426972,      -7.598646746,       -8.27836284,      -8.748885728,       -7.21954121
          0,           0,          94,      -8.126328075,      -7.598567522,      -8.278348024,      -8.748923089,      -7.219353844
          0,           0,          95,      -8.126230978,      -7.598489831,      -8.278335581,      -8.748960958,      -7.219165455
          0,           0,          96,      -8.126135653,      -7.598413727,      -8.278324925,      -8.748999976,      -7.218979045
          0,           0,          97,      -8.126042237,      -7.598339224,      -8.278316368,      -8.749040291,      -7.218795515
          0,           0,          98,      -8.125950593,      -7.598266035,      -8.278310639,      -8.749081938,      -7.218615006
          0,           0,          99,      -8.125860456,      -7.598194017,      -8.278307586,      -8.749123936,      -7.218433122
          0,           0,         100,      -8.125771749,      -7.598123529,      -8.278304101,      -8.749167518,      -7.218255279
          0,           0,         101,      -8.125684529,      -7.598054293,      -8.278304341,      -8.749212379,      -7.218079971
          0,           0,         102,      -8.125598828,      -7.597986363,      -8.278308013,      -8.749258464,      -7.217907219
          0,           0,         103,      -8.125514622,      -7.597919439,      -8.278312196,      -8.749306048,      -7.217738526
          0,           0,         104,      -8.125431877,      -7.597853862,      -8.278318881,       -8.74935514,      -7.217573185
          0,           0,         105,      -8.125350599,      -7.597789588,      -8.278326658,      -8.749405691,      -7.217411006
          0,           0,         106,      -8.125270829,       -7.59772656,      -8.278336204,      -8.749457883,      -7.217252502
          0,           0,         107,      -8.125192591,      -7.597664829,      -8.278347031,      -8.749510713,      -7.217093784
          0,           0,         108,      -8.125115881,      -7.597604582,      -8.278357588,      -8.749564082,       -7.21693377
          0,           0,         109,       -8.12504073,      -7.597545667,      -8.278367469,      -8.749617105,      -7.216768505
          0,           0,         110,      -8.124967148,      -7.597488102,      -8.278378637,      -8.749669836,      -7.216599102
          0,           0,         111,      -8.124895193,      -7.597431938,      -8.278390066,      -8.749720942,      -7.216420146
          0,           0,         112,      -8.124824783,      -7.597377069,         -8.278402,      -8.749772288,      -7.216239112
          0,           0,         113,      -8.124755822,      -7.597323453,      -8.278415276,      -8.749824072,      -7.216056627
          0,           0,         114,      -8.124688411,      -7.597271194,      -8.278429743,      -8.749875928,      -7.215869966
          0,           0,         115,      -8.124622595,      -7.597220218,      -8.278445399,      -8.749928182,      -7.215682035
          0,           0,         116,      -8.124558341,      -7.597170467,      -8.278462516,       -8.74998166,      -7.215496321
          0,           0,         117,      -8.124495605,      -7.597121926,      -8.278481993,      -8.750035626,      -7.215308373
          0,           0,         118,      -8.124434315,      -7.597074509,      -8.278503705,      -8.750089557,      -7.215117119
          0,           0,         119,      -8.124374378,      -7.597028161,      -8.278528008,      -8.750144346,      -7.214926881
          0,           0,         120,      -8.124315734,        -7.5969828,       -8.27855467,      -8.750199249,      -7.214734468
          0,           0,         121,      -8.124258374,      -7.596938349,      -8.278583419,      -8.750255518,      -7.214546357
          0,           0,         122,      -8.124202292,      -7.596894967,      -8.278613995,      -8.750312861,      -7.214360693
          0,           0,         123,      -8.124147475,      -7.596852583,      -8.278647652,      -8.750370407,      -7.214173763
          0,           0,         124,      -8.124093888,      -7.596811243,      -8.278681324,      -8.750429145,       -7.21398946
          0,           0,         125,      -8.124041507,      -7.596770864,      -8.278715468,      -8.750489344,      -7.213809157
          0,           0,         126,      -8.123990422,       -7.59673159,      -8.278750873,       -8.75054992,       -7.21362836
          0,           0,         127,       -8.12394055,      -7.596693303,      -8.278787401,      -8.750611565,      -7.213449698
          0,           0,         128,      -8.123891799,      -7.596656098,      -8.278825202,       -8.75067448,      -7.213274017
          0,           0,         129,      -8.123844143,      -7.596619904,      -8.278862813,      -8.750737822,      -7.213097724
          0,           0,         130,      -8.123797562,      -7.596584787,       -8.27890142,      -8.750802599,      -7.212924977
          0,           0,         131,      -8.123752008,      -7.596550649,      -8.278939953,      -8.750868927,      -7.212756133
          0,           0,         132,      -8.123707441,      -7.596517476,      -8.278979392,      -8.750936731,      -7.212590809
          0,           0,         133,      -8.123663867,      -7.596485311,      -8.279019521,      -8.751006117,      -7.212429279
          0,           0,         134,       -8.12362139,      -7.596454366,      -8.279058972,      -8.751076456,      -7.212268725
          0,           0,         135,      -8.123580118,      -7.596424497,      -8.279100813,      -8.751147499,      -7.212106935
          0,           0,         136,      -8.123540009,      -7.596395725,       -8.27914347,      -8.751219514,      -7.211943031
          0,           0,         137,      -8.123500969,      -7.596367958,      -8.279187713,      -8.751292794,      -7.211781374
          0,           0,         138,      -8.123462929,      -7.596341126,      -8.279233143,      -8.751366177,      -7.211617261
          0,           0,         139,      -8.123425845,      -7.596315324,      -8.279278768,      -8.751441144,      -7.211456999
          0,           0,         140,      -8.123389835,      -7.596290542,      -8.279325368,      -8.751517719,      -7.211300587
          0,           0,         141,      -8.123355034,      -7.596266797,      -8.279373559,      -8.751595117,      -7.211144235
          0,           0,         142,      -8.123321452,      -7.596244081,      -8.279423137,      -8.751671848,      -7.210981909
          0,           0,         143,      -8.123289043,      -7.596222315,       -8.27947438,      -8.751749316,      -7.210818834
          0,           0,         144,      -8.123257775,      -7.596201578,      -8.279527032,      -8.751827254,      -7.210653759
          0,           0,         145,      -8.123227664,      -7.596181954,      -8.279580914,      -8.751906447,      -7.210491893
          0,           0,         146,      -8.123198685,      -7.596163389,       -8.27963604,      -8.751986441,      -7.210331293
          0,           0,         147,      -8.123170751,      -7.596145778,      -8.279692134,      -8.752065255,      -7.210160577
          0,           0,         148,      -8.123143788,      -7.596129013,      -8.279749485,      -8.752143997,      -7.209984612
          0,           0,         149,      -8.123117806,      -7.596113107,      -8.279808167,      -8.752224024,      -7.209811731
          0,           0,         150,      -8.123092885,      -7.596098456,      -8.279864829,      -8.752305039,      -7.209640769
          0,           0,         151,      -8.123069092,      -7.596084616,       -8.27992236,      -8.752384589,      -7.209460183
          0,           0,         152,       -8.12304643,       -7.59607162,      -8.279983455,      -8.752464921,      -7.209280707
          0,           0,         153,      -8.123024846,      -7.596059547,      -8.280045428,      -8.752545794,      -7.209101312
          0,           0,         154,      -8.123004362,       -7.59604842,      -8.280108294,      -8.752625679,      -7.208915413
          0,           0,         155,      -8.122985037,      -7.596037887,       -8.28017284,      -8.752706987,      -7.208734255
          0,           0,         156,      -8.122966883,      -7.596028502,      -8.280237501,      -8.752789661,      -7.208556948
          0,           0,         157,      -8.122949876,      -7.596020079,      -8.280302258,      -8.752873298,      -7.208382046
          0,           0,         158,      -8.122934018,       -7.59601257,       -8.28036915,      -8.752956408,      -7.208203712
          0,           0,         159,      -8.122919229,      -7.596005943,       -8.28043775,      -8.753039836,      -7.208024514
          0,           0,         160,      -8.122905438,      -7.596000246,      -8.280507389,      -8.753124422,      -7.207848171
          0,           0,         161,      -8.122892663,      -7.595995432,      -8.280578905,      -8.753210481,      -7.207676085
          0,           0,         162,      -8.122880919,      -7.595991471,      -8.280651359,      -8.753298049,      -7.207508277
          0,           0,         163,      -8.122870189,      -7.595988366,      -8.280724852,      -8.753387144,       -7.20734476
          0,           0,         164,      -8.122860471,       -7.59598603,       -8.28079944,      -8.753477785,      -7.207185835
          0,           0,         165,      -8.122851754,      -7.595984559,      -8.280875345,      -8.753569992,      -7.207031523
          0,           0,         166,       -8.12284404,      -7.595983929,      -8.280952693,      -8.753663768,      -7.206881372
          0,           0,         167,      -8.122837344,      -7.595984154,      -8.281030428,      -8.753759102,      -7.206735292
          0,           0,         168,      -8.122831661,       -7.59598526,      -8.281109163,       -8.75385502,      -7.206589462
          0,           0,         169,      -8.122826945,      -7.595987195,      -8.281189151,      -8.753950421,      -7.206439274
          0,           0,         170,      -8.122823156,      -7.595990028,      -8.281268162,      -8.754046163,      -7.206288759
          0,           0,         171,      -8.122820284,      -7.595993799,      -8.281348656,      -8.754143155,      -7.206141077
          0,           0,         172,      -8.122818269,      -7.595998363,      -8.281430635,       -8.75424164,      -7.205997124
          0,           0,         173,        -8.1228171,      -7.596003639,      -8.281513509,      -8.754341717,       -7.20585749
          0,           0,         174,      -8.122816818,      -7.596009795,      -8.281597368,      -8.754443347,      -7.205721643
          0,           0,         175,      -8.122817465,       -7.59601688,      -8.281682744,      -8.754545937,      -7.205587459
          0,           0,         176,      -8.122819046,      -7.596025024,      -8.281768913,      -8.754648051,      -7.205448071
          0,           0,         177,      -8.122821491,      -7.596033998,      -8.281855807,      -8.754750809,      -7.205308457
          0,           0,         178,      -8.122824711,      -7.596043806,      -8.281943472,      -8.754854146,      -7.205168275
          0,           0,         179,      -8.122828696,      -7.596054393,      -8.282031846,      -8.754956949,      -7.205022639
          0,           0,         180,      -8.122833528,      -7.596065847,      -8.282120855,       -8.75506127,      -7.204881134
          0,           0,         181,      -8.122839283,      -7.596078305,      -8.282211375,      -8.755164314,      -7.204732297
          0,           0,         182,      -8.122846037,      -7.596091587,       -8.28230176,      -8.755265632,      -7.204574865
          0,           0,         183,      -8.122853686,      -7.596105666,      -8.282393354,      -8.755368171,      -7.204420507
          0,           0,         184,      -8.122862112,      -7.596120621,      -8.282486031,      -8.755471842,      -7.204279617
          0,           0,         185,      -8.122871326,      -7.596136339,      -8.282578868,      -8.755576408,      -7.204152402
          0,           0,         186,      -8.122881405,      -7.596152803,      -8.282672476,      -8.755682439,      -7.204026465
          0,           0,         187,      -8.122892421,      -7.596170112,      -8.282766963,      -8.755789406,      -7.203896105
          0,           0,         188,      -8.122904432,      -7.596188345,      -8.282862623,      -8.755896291,      -7.203760318
          0,           0,         189,      -8.122917452,      -7.596207387,      -8.282959266,       -8.75600352,       -7.20362062
          0,           0,         190,      -8.122931443,      -7.596227282,      -8.283057416,      -8.756112222,       -7.20348371
          0,           0,         191,      -8.122946345,      -7.596247946,      -8.283156142,      -8.756221738,      -7.203347509
          0,           0,         192,      -8.122962129,      -7.596269372,      -8.283256005,      -8.756331758,      -7.203209759
          0,           0,         193,       -8.12297881,      -7.596291562,       -8.28335653,      -8.756441014,      -7.203063279
          0,           0,         194,      -8.122996427,      -7.596314256,      -8.283457972,      -8.756549551,      -7.202909302
          0,           0,         195,       -8.12301502,      -7.596337551,      -8.283559615,      -8.756658925,      -7.202757291
          0,           0,         196,        -8.1230346,      -7.596361717,      -8.283663076,      -8.756769718,      -7.202608771
          0,           0,         197,      -8.123055149,      -7.596386594,      -8.283768027,      -8.756881858,      -7.202463824
          0,           0,         198,      -8.123076626,      -7.596412221,      -8.283874136,      -8.756994466,      -7.202318908
          0,           0,         199,      -8.123098997,      -7.596438567,      -8.283981194,      -8.757108162,      -7.202176456
          0,           0,         200,      -8.123122237,      -7.596465723,      -8.284088204,      -8.757223112,      -7.202037108
          0,           0,         201,      -8.123146326,      -7.596493716,      -8.284197628,      -8.757338989,      -7.201899818
          0,           0,         202,      -8.123171366,      -7.596522573,      -8.284307252,      -8.757455883,      -7.201764425
          0,           0,         203,      -8.123197418,      -7.596552496,      -8.284417296,        -8.7575733,      -7.201629026
          0,           0,         204,      -8.123224476,      -7.596583419,      -8.284524697,      -8.757691347,       -7.20149408
          0,           0,         205,      -8.123252508,      -7.596615176,      -8.284634108,      -8.757808464,      -7.201352601
          0,           0,         206,      -8.123281404,      -7.596647646,      -8.284743798,      -8.757926972,      -7.201215075
          0,           0,         207,      -8.123311103,      -7.596680946,      -8.284854937,      -8.758045596,      -7.201075569
          0,           0,         208,      -8.123341645,      -7.596715024,      -8.284966413,      -8.758165221,      -7.200938259
          0,           0,         209,      -8.123373133,      -7.596749954,      -8.285080096,      -8.758285246,      -7.200801546
          0,           0,         210,      -8.123405607,      -7.596785637,      -8.285194527,      -8.758406195,      -7.200667379
          0,           0,         211,      -8.123438987,      -7.596822042,       -8.28531032,      -8.758528165,      -7.200535599
          0,           0,         212,      -8.123473164,      -7.596859275,      -8.285428208,      -8.758650605,      -7.200404097
          0,           0,         213,       -8.12350846,      -7.596897398,      -8.285544909,      -8.758774489,      -7.200276658
          0,           0,         214,      -8.123544879,      -7.596936462,      -8.285661755,      -8.758899129,      -7.200150504
          0,           0,         215,      -8.123582258,      -7.596976464,      -8.285779212,       -8.75902341,      -7.200021776
          0,           0,         216,      -8.123620594,      -7.597017275,      -8.285896935,      -8.759148138,      -7.199892332
          0,           0,         217,      -8.123659904,      -7.597058869,      -8.286015714,      -8.759273581,      -7.199762943
          0,           0,         218,      -8.123700117,      -7.597101181,      -8.286136086,      -8.759400444,      -7.199637291
          0,           0,         219,      -8.123741122,      -7.597144246,      -8.286256168,      -8.759528278,      -7.199513855
          0,           0,         220,      -8.123782846,      -7.597187999,      -8.286376985,      -8.759655024,      -7.199379004
          0,           0,         221,      -8.123825299,      -7.597232397,      -8.286498745,      -8.759782548,      -7.199245343
          0,           0,         222,      -8.123868544,      -7.597277448,      -8.286621359,      -8.759911261,      -7.199114981
          0,           0,         223,      -8.123912632,      -7.597323224,      -8.286744783,      -8.760039092,      -7.198976545
          0,           0,         224,       -8.12395757,      -7.597369845,      -8.286869612,      -8.760168169,       -7.19884162
          0,           0,         225,      -8.124003318,      -7.597417189,      -8.286994798,      -8.760298631,      -7.198711095
          0,           0,         226,        -8.1240498,      -7.597465315,      -8.287120185,       -8.76043048,      -7.198584825
          0,           0,         227,      -8.124096997,      -7.597514115,      -8.287245978,      -8.760563648,      -7.198462381
          0,           0,         228,      -8.124144915,      -7.597563548,      -8.287372827,      -8.760697933,      -7.198343177
          0,           0,         229,      -8.124193543,      -7.597613568,      -8.287500158,      -8.760833647,      -7.198228163
          0,           0,         230,      -8.124242979,      -7.597664379,       -8.28762841,      -8.760967307,      -7.198104229
          0,           0,         231,      -8.124293329,      -7.597715893,      -8.287757122,      -8.761100938,      -7.197979779
          0,           0,         232,      -8.124344617,      -7.597768133,      -8.287886543,      -8.761234647,      -7.197854649
          0,           0,         233,      -8.124396827,      -7.597821069,      -8.288016602,      -8.761369659,      -7.197733453
          0,           0,         234,      -8.124449905,      -7.597874702,      -8.288147798,      -8.761506022,      -7.197616163
          0,           0,         235,      -8.124503755,      -7.597929002,      -8.288280058,      -8.761642725,      -7.197498315
          0,           0,         236,        -8.1245583,      -7.597983979,      -8.288412858,      -8.761780221,      -7.197381931
          0,           0,         237,      -8.124613537,       -7.59803958,      -8.288546656,      -8.761918912,       -7.19726877
          0,           0,         238,      -8.124669505,      -7.598095892,      -8.288681263,      -8.762055277,      -7.197143208
          0,           0,         239,      -8.124726265,      -7.598152853,      -8.288816237,      -8.762191016,        -7.1970137
          0,           0,         240,      -8.124783835,      -7.598210451,      -8.288951988,       -8.76232601,      -7.196880564
          0,           0,         241,      -8.124842171,      -7.598268843,      -8.289089035,      -8.762462045,      -7.196748074
          0,           0,         242,      -8.124901218,       -7.59832787,      -8.289226494,      -8.762597389,       -7.19661178
          0,           0,         243,       -8.12496094,      -7.598387325,      -8.289366176,       -8.76273231,      -7.196470367
          0,           0,         244,      -8.125021262,      -7.598447585,       -8.28950535,      -8.762867894,      -7.196330462
          0,           0,         245,      -8.125082098,      -7.598508423,      -8.289644907,      -8.763004595,       -7.19619464
          0,           0,         246,      -8.125143435,      -7.598569811,      -8.289785562,      -8.763142514,      -7.196062853
          0,           0,         247,      -8.125205356,      -7.598631742,      -8.289927031,      -8.763281689,      -7.195935232
          0,           0,         248,      -8.125267962,      -7.598694363,      -8.290068294,      -8.763422129,      -7.195811864
